wick_threshold,horizon_candles,target_return,payoff_ratio_min,payoff_expected_min,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total,blocked_by_payoff_total
0.8,12,0.012,1.2,0.0,2.2120905629552204e-05,-0.5408322063908357,-0.00043582640865515594,-0.36331194840908543,520,0,4,0
0.8,4,0.012,1.2,0.0,-0.000210006369640679,-0.5475664030593241,-0.0005654905624412931,-0.40795222845560897,636,0,4,0
0.8,8,0.012,1.2,0.0,0.0002210679336731149,-0.38538450879588726,-0.0006197932669284794,-0.4064794161943046,554,0,4,0
0.8,6,0.012,1.2,0.0,-7.189708698587021e-05,-0.4002748794768044,-0.0006719076846309189,-0.40259476022109053,581,0,4,0
0.8,3,0.012,1.2,0.0,-0.00017385146895743724,-0.44100170347770407,-0.0008105452579080175,-0.4933412335236923,677,0,4,0
0.5,8,0.012,1.2,0.0,-0.000605427707362539,-0.8865477669316727,-0.0008297142130556432,-0.6794148391249951,1075,0,4,0
0.8,12,0.009,1.2,0.0,2.2120905629552204e-05,-0.5408322063908357,-0.0008442913545657206,-0.4377109542925929,585,0,4,0
0.8,4,0.009,1.2,0.0,-0.000210006369640679,-0.5475664030593241,-0.0008455042577232419,-0.4864443177043357,677,0,4,0
0.7,8,0.012,1.2,0.0,8.914452030788282e-05,-0.48463383148194505,-0.0008537972074477416,-0.5276287366551863,700,0,4,0
0.5,6,0.012,1.2,0.0,-0.0006667767755156399,-0.8962642709015327,-0.0009038733989921945,-0.7283487963094515,1183,0,4,0
0.7,12,0.012,1.2,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0009168453218419497,-0.5296182647264918,648,0,4,0
0.7,12,0.009,1.2,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0009228551737990628,-0.5623100719829237,737,0,4,0
0.7,4,0.012,1.2,0.0,-0.00037442020544535564,-0.6668295239367596,-0.0009264861881947275,-0.5912617329026237,817,0,4,0
0.7,6,0.012,1.2,0.0,-0.00020095447781895277,-0.5239112931437878,-0.0009627273180356305,-0.5715567840170761,737,0,4,0
0.8,2,0.012,1.2,0.0,-0.00033509475433470416,-0.49684667225691626,-0.0009649102872535611,-0.5791402019994405,739,0,4,0
0.8,8,0.009,1.2,0.0,0.0002210679336731149,-0.38538450879588726,-0.0009723599149643066,-0.4864442681943456,608,0,4,0
0.5,4,0.012,1.2,0.0,-0.0007203031773696725,-0.9000738297787105,-0.0010093620266656157,-0.7925889209153536,1365,0,4,0
0.8,3,0.009,1.2,0.0,-0.00017385146895743724,-0.44100170347770407,-0.0010152794158648213,-0.5509120158738706,704,0,4,0
0.8,6,0.009,1.2,0.0,-7.189708698587021e-05,-0.4002748794768044,-0.0010395753649166293,-0.5200124371074448,632,0,4,0
0.4,8,0.012,1.2,0.0,-0.0007519974752921602,-0.9709680058827583,-0.0010556577206746317,-0.7624328952737054,1246,0,2,0
0.5,12,0.012,1.2,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0010638130567637194,-0.7053520628582337,954,0,4,0
0.7,8,0.009,1.2,0.0,8.914452030788282e-05,-0.48463383148194505,-0.0010658982760979963,-0.5983482392472721,776,0,4,0
0.7,4,0.009,1.2,0.0,-0.00037442020544535564,-0.6668295239367596,-0.0010808913970796513,-0.6402311736684266,868,0,4,0
0.5,3,0.012,1.2,0.0,-0.0006507467959548387,-0.8709558192167728,-0.0010851677901941993,-0.8341830237679259,1491,0,4,0
0.7,3,0.012,1.2,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0010951075667304064,-0.6583400638222003,871,0,4,0
0.6,3,0.012,1.2,0.0,-0.0005723230848805493,-0.7421829973186741,-0.0010979690299771224,-0.7515776280567381,1165,0,4,0
0.7,2,0.012,1.2,0.0,-0.00045012488659071533,-0.6081318582204405,-0.001113308246811142,-0.6977167749319828,961,0,4,0
0.8,2,0.009,1.2,0.0,-0.00033509475433470416,-0.49684667225691626,-0.0011189020976804405,-0.6072395005460841,751,0,4,0
0.5,12,0.009,1.2,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0011384230146960798,-0.7591081052783026,1118,0,4,0
0.4,4,0.012,1.2,0.0,-0.000813751398280868,-0.9660428928956994,-0.0011423435219763218,-0.8666712186312338,1648,0,2,0
0.6,8,0.012,1.2,0.0,-0.00025556474199194744,-0.6247578560475361,-0.0011470142765066626,-0.6876058885673986,885,0,4,0
0.7,3,0.009,1.2,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0011502310328270586,-0.6724835349220439,906,0,4,0
0.7,6,0.009,1.2,0.0,-0.00020095447781895277,-0.5239112931437878,-0.001154686301602758,-0.6388986426236327,807,0,4,0
0.7,2,0.009,1.2,0.0,-0.00045012488659071533,-0.6081318582204405,-0.0011574686371288853,-0.7037992733651126,976,0,4,0
0.5,4,0.009,1.2,0.0,-0.0007203031773696725,-0.9000738297787105,-0.0011590194864530836,-0.8311558811149113,1439,0,4,0
0.6,4,0.012,1.2,0.0,-0.0006476358049846717,-0.7972625616547453,-0.0011616416389526485,-0.7472112311971054,1082,0,4,0
0.6,4,0.009,1.2,0.0,-0.0006476358049846717,-0.7972625616547453,-0.001165425138346779,-0.7612984320594938,1141,0,4,0
0.5,8,0.009,1.2,0.0,-0.000605427707362539,-0.8865477669316727,-0.0011721555464608445,-0.7926777771647834,1208,0,4,0
0.6,12,0.009,1.2,0.0,-0.0003956636887821876,-0.7579161229940857,-0.001188233127587303,-0.7071700785651928,929,0,4,0
0.5,6,0.009,1.2,0.0,-0.0006667767755156399,-0.8962642709015327,-0.001195503406920871,-0.8188918596420018,1289,0,4,0
0.4,12,0.012,1.2,0.0,-0.0008754324562268553,-0.9877122865559766,-0.0012005594907188,-0.7525095402334665,1082,0,2,0
0.4,3,0.012,1.2,0.0,-0.0007817070258040231,-0.9597765373717957,-0.001204187360566946,-0.9053368265634177,1833,0,2,0
0.8,6,0.006,1.2,0.0,-7.189708698587021e-05,-0.4002748794768044,-0.001210312746840273,-0.5819103079954897,704,0,4,0
